method,mae,rmse,r2,quality_pct
Model,4.95295311000115,12.60273848437768,0.26666477935338667,73.0251669466316
Persistence,8.263480513525906,18.500637277834315,-0.47479330905896955,70.57845083505755
Moving Average,14.078013586113313,20.469357968200057,-0.005823905511843382,65.20344325829167
