method,mae,rmse,r2,quality_pct
Model,0.6042593433979748,2.2537819340849983,-0.0009648670096747969,52.82517269613492
Persistence,0.6871683654209136,3.110937694887611,-0.8932737481981955,55.41472246618448
Moving Average,0.6526282307789103,2.462842832171311,-0.19249429506293594,53.596842275778954
