model,val_mse,test_mse,test_mae,test_smape,spike_f1,epochs
attention_lstm,0.6442866325378418,82.39689636230469,3.130131483078003,0.44236066937446594,0.27450980392156865,20
lstm,0.6451953649520874,79.65496063232422,2.9573452472686768,0.42979758977890015,0.2600732600732601,22
gru,0.6453027129173279,81.36643981933594,3.1467888355255127,0.4395235478878021,0.26229508196721313,17
mean_lstm,0.6527979373931885,92.7953872680664,3.0840091705322266,0.4461866319179535,0.26523297491039427,40
